Experiment ID                :  dynamiclandscapes
Problem Type                 :  DL1
Data Input File Name         :  NA
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  32


 R   3 G 199#######     25.257      13.58
3.0 38.0###########   RawFitness
         -685414173#############

 R   4 G   0#######     38.899     35.015
 R   4 G   1#######     37.162     41.527
 R   4 G   2#######      37.44     37.302
 R   4 G   3#######     39.059     38.752
 R   4 G   4#######     39.748     36.848
 R   4 G   5#######     34.824     37.128
 R   4 G   6#######     40.459     39.732
 R   4 G   7#######     42.767     40.138
 R   4 G   8#######     42.607     41.659
 R   4 G   9#######     37.734     40.092
 R   4 G  10#######     36.515     39.619
 R   4 G  11#######     37.205     39.019
 R   4 G  12#######     35.326     34.253
 R   4 G  13#######      33.27     27.847
 R   4 G  14#######     34.044     27.966
 R   4 G  15#######     36.432      30.98
 R   4 G  16#######      34.92     27.438
 R   4 G  17#######     33.741     30.363
 R   4 G  18#######     34.813     32.454
 R   4 G  19#######     30.484     25.518
 R   4 G  20#######     33.691     28.202
 R   4 G  21#######     31.928     24.494
 R   4 G  22#######     35.341     28.538
 R   4 G  23#######     36.376     29.115
 R   4 G  24#######     34.317     30.437
 R   4 G  25#######     27.881     21.933
 R   4 G  26#######     31.735     29.317
 R   4 G  27#######      29.52     26.421
 R   4 G  28#######     25.618     17.572
 R   4 G  29#######     23.019     16.579
 R   4 G  30#######     24.328     18.928
 R   4 G  31#######     24.235     20.858
 R   4 G  32#######     26.502     22.129
 R   4 G  33#######     24.751     15.305
 R   4 G  34#######     22.583      15.18
 R   4 G  35#######     23.674      16.22
 R   4 G  36#######     24.775     16.161
 R   4 G  37#######     26.199     19.025
 R   4 G  38#######     25.736     16.407
 R   4 G  39#######     28.142     16.495
 R   4 G  40#######     26.599     15.978
 R   4 G  41#######     30.513     17.236
 R   4 G  42#######     32.907     16.451
 R   4 G  43#######     30.853     17.879
 R   4 G  44#######     31.154     17.908
 R   4 G  45#######     30.161     17.494
 R   4 G  46#######     27.455     16.414
 R   4 G  47#######     27.623     16.819
 R   4 G  48#######     27.068     18.944
 R   4 G  49#######     25.734     16.974
 R   4 G  50#######     25.476     16.064
 R   4 G  51#######     21.725     15.161
 R   4 G  52#######     20.777     16.861
 R   4 G  53#######     25.082     18.045
 R   4 G  54#######     22.496      17.78
 R   4 G  55#######     23.567     18.036
 R   4 G  56#######     22.303     18.063
 R   4 G  57#######     21.851     17.239
 R   4 G  58#######     22.822     17.469
 R   4 G  59#######     19.374     14.948
 R   4 G  60#######     19.289     14.065
 R   4 G  61#######     18.005     12.263
 R   4 G  62#######     18.934     12.619
 R   4 G  63#######     22.035     14.786
 R   4 G  64#######     22.338      16.57
 R   4 G  65#######     22.113     16.781
 R   4 G  66#######     23.144     16.623
 R   4 G  67#######     22.434     16.015
 R   4 G  68#######     21.988     16.445
 R   4 G  69#######     21.866     15.756
 R   4 G  70#######     19.289     14.686
 R   4 G  71#######     19.912     15.482
 R   4 G  72#######     19.387     16.306
 R   4 G  73#######     21.669      18.23
